account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,total_mrr,sub_count,total_usage_count,total_usage_duration,support_ticket_count,avg_ticket_resolution_time,has_churn_event,seniority_months,days_since_last_login,usage_trend_3m,ratio_critical_tickets,avg_resolution_delay,plan_changes_count,mrr_evolution
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,12603.0,10,535,152339.0,2,23.0,True,2.5,21,0.5,1.0,23.0,1,5562.0
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,10004.0,8,355,101136.0,3,38.0,False,16.5,2,0.46,0.67,38.0,3,0.0
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,18286.0,15,821,251210.0,3,43.67,True,4.1,9,1.18,0.33,43.67,2,98.0
A-1f0ac7,Company_3,HealthTech,UK,2023-08-27,other,Basic,24,True,False,9275.0,7,382,102528.0,2,29.0,True,16.2,20,0.79,0.5,29.0,2,-530.0
A-ce550d,Company_4,HealthTech,US,2024-10-27,event,Enterprise,35,False,True,48761.0,9,579,215779.0,7,42.29,True,2.1,8,1.61,0.57,42.29,2,-5250.0
A-1b9609,Company_5,EdTech,IN,2023-10-12,ads,Enterprise,4,False,False,16810.0,11,457,140541.0,4,43.0,True,14.7,41,0.94,0.75,43.0,0,-284.0
A-a0ca4e,Company_6,Cybersecurity,US,2024-03-08,ads,Pro,11,False,False,16633.0,9,373,116964.0,6,39.17,False,9.8,14,1.17,0.33,39.17,0,13.0
A-e5d6ab,Company_7,EdTech,US,2023-04-15,partner,Pro,3,False,False,13048.0,10,382,111506.0,3,42.67,True,20.6,29,3.0,0.67,42.67,0,-1194.0
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,12,False,True,23057.0,10,472,145429.0,4,32.5,True,3.7,2,1.21,1.0,32.5,1,199.0
A-10b8da,Company_9,DevTools,US,2023-05-08,partner,Enterprise,14,False,True,8787.0,6,257,73818.0,3,31.33,False,19.8,8,4.0,0.67,31.33,1,-3117.0
