account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,churn_flag,tenure_days,industry_risk_score,error_rate,usage_trend_30j,nb_tickets_urgents,avg_resolution_time,satisfaction_score_moyen,downgrade_flag,auto_renew_flag,is_trial
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,511,0.5,0.0710280373831775,0.0,1.0,23.0,3.5,0,1,False
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,True,937,0.2,0.0394366197183098,0.0,2.0,38.0,4.0,0,1,False
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,561,0.1,0.0584652862362971,0.0,1.0,43.66666666666666,4.666666666666667,1,1,False
A-1f0ac7,Company_3,HealthTech,UK,2023-08-27,other,Basic,24,False,927,0.3,0.0549738219895288,0.0,0.0,29.0,4.0,0,1,True
A-ce550d,Company_4,HealthTech,US,2024-10-27,event,Enterprise,35,True,500,0.3,0.0535405872193437,0.0,2.0,42.285714285714285,3.857142857142857,0,1,False
A-1b9609,Company_5,EdTech,IN,2023-10-12,ads,Enterprise,4,False,881,0.5,0.0459518599562363,0.0,1.0,43.0,3.75,0,1,False
A-a0ca4e,Company_6,Cybersecurity,US,2024-03-08,ads,Pro,11,False,733,0.4,0.0375335120643431,0.0,0.0,39.16666666666666,3.8333333333333335,0,1,False
A-e5d6ab,Company_7,EdTech,US,2023-04-15,partner,Pro,3,False,1061,0.5,0.0602094240837696,0.0,0.0,42.66666666666666,4.0,0,1,False
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,12,True,547,0.4,0.0614406779661017,0.0,1.0,32.5,3.75,0,1,False
A-10b8da,Company_9,DevTools,US,2023-05-08,partner,Enterprise,14,True,1038,0.1,0.0544747081712062,0.0,0.0,31.33333333333333,3.6666666666666665,0,1,False
A-592832,Company_10,Cybersecurity,US,2024-09-25,organic,Basic,18,True,532,0.4,0.0522317188983855,0.0,0.0,32.666666666666664,4.333333333333333,1,1,False
A-d40bf7,Company_11,FinTech,IN,2024-11-08,organic,Basic,59,False,488,0.2,0.0391459074733096,0.0,2.0,20.5,5.0,0,1,False
A-6c093d,Company_12,DevTools,US,2023-04-14,partner,Basic,7,False,1062,0.1,0.044776119402985,0.0,0.0,40.333333333333336,4.333333333333333,0,1,True
A-462d45,Company_13,Cybersecurity,US,2024-01-15,partner,Enterprise,11,False,786,0.4,0.0404984423676012,0.0,1.0,26.75,4.0,1,1,True
A-956988,Company_14,EdTech,UK,2024-11-30,ads,Enterprise,1,False,466,0.5,0.0744680851063829,0.0,1.0,50.5,3.5,1,1,False
A-ac14bb,Company_15,FinTech,US,2023-09-08,partner,Enterprise,21,False,915,0.2,0.0790960451977401,0.0,0.0,24.5,4.0,0,1,False
A-463db0,Company_16,HealthTech,US,2024-12-05,partner,Basic,15,False,461,0.3,0.0354223433242506,0.0,1.0,50.16666666666666,4.166666666666667,0,1,False
A-ce66f8,Company_17,EdTech,CA,2023-08-23,event,Pro,29,False,931,0.5,0.0384615384615384,0.0,2.0,41.66666666666666,3.8333333333333335,0,1,False
A-c4ea60,Company_18,FinTech,DE,2023-03-09,other,Enterprise,18,True,1098,0.2,0.0421545667447306,0.0,1.0,36.0,3.6,1,1,False
A-832ec2,Company_19,FinTech,UK,2023-11-19,event,Enterprise,4,False,843,0.2,0.0489236790606653,0.0,0.0,26.0,4.0,0,1,True
A-684255,Company_20,FinTech,US,2024-04-14,ads,Enterprise,9,False,696,0.2,0.0673813169984686,0.0,1.0,14.25,4.5,1,1,False
A-c42f1f,Company_21,HealthTech,US,2024-07-28,other,Pro,8,False,591,0.3,0.059347181008902,0.0,1.0,31.33333333333333,4.0,1,1,False
A-4e44e8,Company_22,DevTools,US,2024-08-20,ads,Enterprise,3,True,568,0.1,0.0538573508005822,0.0,1.0,31.33333333333333,3.333333333333333,0,1,False
A-30b4ca,Company_23,EdTech,IN,2024-05-20,organic,Basic,86,True,660,0.5,0.0547263681592039,0.0,0.0,57.66666666666666,4.0,0,1,False
A-9f2731,Company_24,FinTech,IN,2024-10-04,event,Enterprise,1,False,523,0.2,0.0617283950617283,0.0,0.0,0.0,0.0,1,1,False
A-32fb14,Company_25,DevTools,US,2023-03-07,event,Enterprise,26,True,1100,0.1,0.0389344262295082,0.0,3.0,34.0,4.2,0,1,False
