usage_id,subscription_id,usage_date,feature_name,usage_count,usage_duration_secs,error_count,is_beta_feature
U-1c6c24,S-0fcf7d,2023-07-27,Unknown,9,1970-01-01 00:00:00.000005004,0,Unknown
U-f07cb8,S-c25263,2023-08-07,Unknown,9,1970-01-01 00:00:00.000000369,0,Unknown
U-096807,S-f29e7f,2023-12-07,Unknown,9,1970-01-01 00:00:00.000001458,0,Unknown
U-6b1580,S-be655e,2024-07-28,Unknown,5,1970-01-01 00:00:00.000002085,0,Unknown
U-720a29,S-f9b1d0,2024-12-02,Unknown,12,1970-01-01 00:00:00.000000900,0,Unknown
U-c5692d,S-e958ba,2023-10-31,Unknown,11,1970-01-01 00:00:00.000004103,0,Unknown
U-7078db,S-0c9fdd,2023-09-20,Unknown,8,1970-01-01 00:00:00.000002016,2,Unknown
U-a60033,S-4e4ab7,2023-06-05,Unknown,10,1970-01-01 00:00:00.000005470,0,Unknown
U-5cd930,S-a3a1c1,2024-02-20,Unknown,9,1970-01-01 00:00:00.000005067,1,Unknown
U-ebb375,S-9e450b,2023-02-09,Unknown,6,1970-01-01 00:00:00.000002778,0,Unknown
U-a7c89a,S-3673f2,2024-08-25,Unknown,9,1970-01-01 00:00:00.000002061,0,Unknown
U-779058,S-afed2d,2023-11-03,Unknown,10,1970-01-01 00:00:00.000005200,0,Unknown
U-f65bba,S-3dc46b,2024-07-14,Unknown,5,1970-01-01 00:00:00.000000930,1,Unknown
U-4de1d3,S-e2799b,2023-08-22,Unknown,8,1970-01-01 00:00:00.000002480,0,Unknown
U-935818,S-9ce22d,2023-05-22,Unknown,17,1970-01-01 00:00:00.000000901,0,Unknown
U-0286e4,S-4dae4f,2023-12-09,Unknown,10,1970-01-01 00:00:00.000004610,0,Unknown
U-99f042,S-5272ff,2023-10-11,Unknown,12,1970-01-01 00:00:00.000004884,2,Unknown
U-a66f10,S-e3dff3,2024-04-04,Unknown,14,1970-01-01 00:00:00.000004872,0,Unknown
U-805be4,S-c23126,2023-03-23,Unknown,5,1970-01-01 00:00:00.000002055,3,Unknown
U-138675,S-813cdc,2023-07-30,Unknown,5,1970-01-01 00:00:00.000000960,0,Unknown
U-77404d,S-6c969d,2024-08-31,Unknown,9,1970-01-01 00:00:00.000005022,0,Unknown
U-80c1c1,S-dacc80,2023-11-29,Unknown,9,1970-01-01 00:00:00.000000432,0,Unknown
U-25b56c,S-810c27,2024-10-06,Unknown,7,1970-01-01 00:00:00.000000231,0,Unknown
U-184e0c,S-fcb954,2023-04-15,Unknown,8,1970-01-01 00:00:00.000000856,0,Unknown
U-97d46f,S-d111f5,2023-04-13,Unknown,10,1970-01-01 00:00:00.000005240,0,Unknown
U-782016,S-1b4693,2023-04-08,Unknown,8,1970-01-01 00:00:00.000000192,1,Unknown
U-d7cb11,S-7d9605,2023-12-03,Unknown,13,1970-01-01 00:00:00.000005980,0,Unknown
U-0ae9d5,S-6ce794,2023-02-25,Unknown,8,1970-01-01 00:00:00.000001416,1,Unknown
U-0aff2c,S-041624,2024-02-20,Unknown,9,1970-01-01 00:00:00.000003456,2,Unknown
U-093baa,S-7dab19,2023-11-19,Unknown,6,1970-01-01 00:00:00.000000540,2,Unknown
U-7fbb0f,S-b3071c,2023-01-01,Unknown,11,1970-01-01 00:00:00.000001573,0,Unknown
U-e5999c,S-de9b4b,2024-03-24,Unknown,9,1970-01-01 00:00:00.000005256,0,Unknown
U-a5433e,S-f0081e,2023-03-02,Unknown,14,1970-01-01 00:00:00.000002324,1,Unknown
U-54d795,S-0c47cb,2024-12-17,Unknown,14,1970-01-01 00:00:00.000001190,0,Unknown
U-4ccaa4,S-5d5a8d,2023-04-24,Unknown,6,1970-01-01 00:00:00.000001344,0,Unknown
U-492e99,S-567afa,2023-12-22,Unknown,9,1970-01-01 00:00:00.000002430,0,Unknown
U-ed08bd,S-6c7bd8,2024-10-10,Unknown,7,1970-01-01 00:00:00.000002464,0,Unknown
U-ba2bf3,S-8b52b5,2024-03-24,Unknown,9,1970-01-01 00:00:00.000000441,0,Unknown
U-4978ea,S-3947da,2023-04-13,Unknown,5,1970-01-01 00:00:00.000001000,1,Unknown
U-7f9bc8,S-1ad713,2024-04-19,Unknown,14,1970-01-01 00:00:00.000007952,0,Unknown
U-624d96,S-049328,2023-12-29,Unknown,7,1970-01-01 00:00:00.000002653,0,Unknown
U-d652f1,S-64acb8,2023-08-25,Unknown,10,1970-01-01 00:00:00.000000540,0,Unknown
U-e860b8,S-6c969d,2024-02-07,Unknown,7,1970-01-01 00:00:00.000001582,0,Unknown
U-804bf8,S-8c9649,2023-01-13,Unknown,5,1970-01-01 00:00:00.000002985,0,Unknown
U-d2e9b7,S-c2168a,2023-01-04,Unknown,6,1970-01-01 00:00:00.000002166,1,Unknown
U-9a5f52,S-0283b5,2023-02-02,Unknown,6,1970-01-01 00:00:00.000002658,0,Unknown
U-a6a7c7,S-1bf267,2024-06-02,Unknown,9,1970-01-01 00:00:00.000002664,1,Unknown
U-3e5e83,S-a37653,2023-03-15,Unknown,14,1970-01-01 00:00:00.000004368,0,Unknown
U-708d27,S-ec690c,2023-08-15,Unknown,8,1970-01-01 00:00:00.000001464,2,Unknown
U-0abd90,S-de7a48,2024-01-03,Unknown,7,1970-01-01 00:00:00.000001778,0,Unknown
U-7d32fc,S-e7e4bd,2024-12-03,Unknown,8,1970-01-01 00:00:00.000002824,0,Unknown
U-b095d6,S-31428b,2023-02-16,Unknown,6,1970-01-01 00:00:00.000002412,0,Unknown
U-ba50ee,S-51924b,2023-02-04,Unknown,12,1970-01-01 00:00:00.000005064,0,Unknown
U-aac036,S-10fc7d,2024-08-06,Unknown,12,1970-01-01 00:00:00.000000216,0,Unknown
U-9df047,S-eea643,2024-02-12,Unknown,12,1970-01-01 00:00:00.000005316,0,Unknown
U-029a51,S-8c118d,2023-03-02,Unknown,6,1970-01-01 00:00:00.000003384,1,Unknown
U-680b9d,S-e702a4,2024-03-25,Unknown,11,1970-01-01 00:00:00.000003014,0,Unknown
U-1314b8,S-ef2a21,2024-12-13,Unknown,6,1970-01-01 00:00:00.000002970,3,Unknown
U-46c99c,S-01bbff,2023-10-01,Unknown,14,1970-01-01 00:00:00.000003192,0,Unknown
U-e580fe,S-3673f2,2024-08-06,Unknown,9,1970-01-01 00:00:00.000002871,0,Unknown
U-50e5b9,S-c1f8e1,2024-12-16,Unknown,10,1970-01-01 00:00:00.000002350,1,Unknown
U-83a6c5,S-431c03,2023-01-03,Unknown,13,1970-01-01 00:00:00.000006591,0,Unknown
U-545d0c,S-58ab69,2024-01-22,Unknown,13,1970-01-01 00:00:00.000004511,0,Unknown
U-275562,S-3bdedd,2023-01-09,Unknown,7,1970-01-01 00:00:00.000001183,0,Unknown
U-b232f4,S-f3ff06,2023-01-12,Unknown,8,1970-01-01 00:00:00.000004080,0,Unknown
U-892c50,S-53361d,2024-01-24,Unknown,8,1970-01-01 00:00:00.000002128,3,Unknown
U-700b4b,S-44c5dd,2024-02-05,Unknown,6,1970-01-01 00:00:00.000001782,2,Unknown
U-385a00,S-b147b9,2024-04-15,Unknown,13,1970-01-01 00:00:00.000003445,2,Unknown
U-424739,S-8e5fd4,2024-08-19,Unknown,12,1970-01-01 00:00:00.000002352,3,Unknown
U-9ee469,S-69fb37,2024-12-20,Unknown,6,1970-01-01 00:00:00.000001374,0,Unknown
U-0b0bbc,S-d1b062,2023-11-12,Unknown,8,1970-01-01 00:00:00.000000816,0,Unknown
U-b07117,S-e7b281,2023-01-16,Unknown,19,1970-01-01 00:00:00.000011210,0,Unknown
U-203929,S-463525,2024-10-20,Unknown,16,1970-01-01 00:00:00.000000832,1,Unknown
U-9c486f,S-94b283,2023-09-08,Unknown,16,1970-01-01 00:00:00.000008928,0,Unknown
U-03f160,S-00bb84,2024-02-28,Unknown,9,1970-01-01 00:00:00.000002376,0,Unknown
U-c08e68,S-0c63de,2023-01-15,Unknown,10,1970-01-01 00:00:00.000001240,0,Unknown
U-a446ec,S-9dcef8,2024-01-29,Unknown,10,1970-01-01 00:00:00.000004590,0,Unknown
U-a83ad0,S-606d6d,2023-05-20,Unknown,15,1970-01-01 00:00:00.000000165,1,Unknown
U-fd7a68,S-cd4d67,2024-11-25,Unknown,12,1970-01-01 00:00:00.000005664,0,Unknown
U-477ca5,S-3ea3af,2024-07-30,Unknown,11,1970-01-01 00:00:00.000006171,0,Unknown
U-88007d,S-7cf7c6,2023-11-28,Unknown,9,1970-01-01 00:00:00.000001755,0,Unknown
U-d12cc7,S-3eb206,2023-06-25,Unknown,11,1970-01-01 00:00:00.000004818,0,Unknown
U-d26026,S-a801d1,2023-06-21,Unknown,12,1970-01-01 00:00:00.000000624,1,Unknown
U-f82b52,S-70d15d,2023-09-04,Unknown,10,1970-01-01 00:00:00.000001880,0,Unknown
U-e01529,S-2923fc,2024-12-11,Unknown,9,1970-01-01 00:00:00.000004257,0,Unknown
U-4abe39,S-04fd47,2023-12-29,Unknown,9,1970-01-01 00:00:00.000001764,0,Unknown
U-92a37d,S-f72b84,2023-09-19,Unknown,3,1970-01-01 00:00:00.000001437,0,Unknown
