account_id,tenure_days,is_trial,industry_risk_score,error_rate,usage_trend_30j,nb_tickets_urgents,avg_resolution_time,satisfaction_score_moyen,downgrade_flag,auto_renew_flag
A-2e4581,511,False,0.5,0.07102803738317758,0.0,1.0,23.0,3.5,0,1
A-43a9e3,937,False,0.2,0.03943661971830986,0.0,2.0,38.0,4.0,0,1
A-0a282f,561,False,0.1,0.058465286236297195,0.0,1.0,43.666666666666664,4.666666666666667,1,1
A-1f0ac7,927,True,0.3,0.0549738219895288,0.0,0.0,29.0,4.0,0,1
A-ce550d,500,False,0.3,0.0535405872193437,0.0,2.0,42.285714285714285,3.857142857142857,0,1
A-1b9609,881,False,0.5,0.045951859956236324,0.0,1.0,43.0,3.75,0,1
A-a0ca4e,733,False,0.4,0.03753351206434316,0.0,0.0,39.166666666666664,3.8333333333333335,0,1
A-e5d6ab,1061,False,0.5,0.060209424083769635,0.0,0.0,42.666666666666664,4.0,0,1
A-7dacce,547,False,0.4,0.0614406779661017,0.0,1.0,32.5,3.75,0,1
A-10b8da,1038,False,0.1,0.054474708171206226,0.0,0.0,31.333333333333332,3.6666666666666665,0,1
A-592832,532,False,0.4,0.052231718898385564,0.0,0.0,32.666666666666664,4.333333333333333,1,1
A-d40bf7,488,False,0.2,0.03914590747330961,0.0,2.0,20.5,5.0,0,1
A-6c093d,1062,True,0.1,0.04477611940298507,0.0,0.0,40.333333333333336,4.333333333333333,0,1
A-462d45,786,True,0.4,0.040498442367601244,0.0,1.0,26.75,4.0,1,1
A-956988,466,False,0.5,0.07446808510638298,0.0,1.0,50.5,3.5,1,1
A-ac14bb,915,False,0.2,0.07909604519774012,0.0,0.0,24.5,4.0,0,1
A-463db0,461,False,0.3,0.035422343324250684,0.0,1.0,50.166666666666664,4.166666666666667,0,1
A-ce66f8,931,False,0.5,0.038461538461538464,0.0,2.0,41.666666666666664,3.8333333333333335,0,1
A-c4ea60,1098,False,0.2,0.04215456674473068,0.0,1.0,36.0,3.6,1,1
A-832ec2,843,True,0.2,0.04892367906066536,0.0,0.0,26.0,4.0,0,1
A-684255,696,False,0.2,0.06738131699846861,0.0,1.0,14.25,4.5,1,1
A-c42f1f,591,False,0.3,0.05934718100890208,0.0,1.0,31.333333333333332,4.0,1,1
A-4e44e8,568,False,0.1,0.053857350800582245,0.0,1.0,31.333333333333332,3.3333333333333335,0,1
A-30b4ca,660,False,0.5,0.05472636815920398,0.0,0.0,57.666666666666664,4.0,0,1
A-9f2731,523,False,0.2,0.06172839506172839,0.0,0.0,0.0,0.0,1,1
A-32fb14,1100,False,0.1,0.0389344262295082,0.0,3.0,34.0,4.2,0,1
A-00cac8,908,True,0.3,0.05149501661129568,0.0,2.0,33.0,4.0,1,1
A-35083d,1048,False,0.3,0.04677623261694058,0.0,0.0,49.75,4.75,0,1
A-eb7fac,865,False,0.1,0.08178438661710037,0.0,2.0,34.0,4.0,0,1
A-b20d99,896,False,0.3,0.0364741641337386,0.0,0.0,61.5,3.5,0,1
A-396e5f,525,False,0.4,0.04259259259259259,0.0,1.0,24.8,4.0,1,1
A-45ce7a,962,False,0.2,0.07075471698113207,0.0,0.0,45.4,3.8,1,1
A-08e34e,622,False,0.5,0.04915514592933948,0.0,0.0,43.0,3.3333333333333335,0,1
A-8145a0,1051,True,0.4,0.03896103896103896,0.0,1.0,23.666666666666668,4.0,0,1
A-bad8c1,1106,False,0.2,0.02857142857142857,0.0,0.0,27.0,4.0,0,1
A-44dc83,668,False,0.5,0.05241935483870968,0.0,1.0,40.857142857142854,4.428571428571429,0,1
A-f446b6,1034,True,0.1,0.08244680851063829,0.0,4.0,30.75,4.125,0,1
A-a45270,625,False,0.3,0.0723055934515689,0.0,1.0,64.0,4.0,1,1
A-854864,459,False,0.2,0.04032258064516129,0.0,0.0,44.2,4.8,0,1
A-1b7577,500,False,0.4,0.05100463678516229,0.0,2.0,27.2,4.0,1,1
A-05f0e5,1042,False,0.2,0.06515580736543909,0.0,0.0,20.0,4.0,0,1
A-9077b0,563,False,0.3,0.06288032454361055,0.0,1.0,40.333333333333336,4.333333333333333,0,1
A-7f8241,1093,False,0.5,0.051771117166212535,0.0,0.0,36.0,3.0,0,1
A-2bc93d,1093,False,0.3,0.046546546546546545,0.0,1.0,12.0,4.5,0,1
A-f3ff05,613,False,0.2,0.05357142857142857,0.0,0.0,42.666666666666664,3.6666666666666665,0,1
A-2d4502,681,False,0.2,0.04086021505376344,0.0,2.0,26.333333333333332,4.666666666666667,0,1
A-6a4e2d,1069,False,0.5,0.051926298157453935,0.0,0.0,18.5,4.5,1,1
A-eb7c38,745,False,0.1,0.03896103896103896,0.0,2.0,22.4,4.2,1,1
A-c37601,496,True,0.5,0.04294478527607362,0.0,2.0,42.25,3.75,0,1
A-3b5cd1,911,True,0.2,0.045889101338432124,0.0,2.0,27.4,4.0,1,1
A-b2225d,733,False,0.2,0.08620689655172414,0.0,0.0,42.0,3.5,1,1
A-94f8c9,712,False,0.3,0.08445040214477212,0.0,2.0,47.333333333333336,4.666666666666667,1,1
A-02fac6,1070,False,0.2,0.06614785992217899,0.0,1.0,23.333333333333332,4.0,0,1
A-c1dfe1,947,False,0.1,0.08,0.0,1.0,50.333333333333336,4.0,1,1
A-32728c,1163,False,0.1,0.05263157894736842,0.0,0.0,34.5,3.5,0,1
A-4c38bc,732,False,0.3,0.03300733496332518,0.0,1.0,48.333333333333336,3.6666666666666665,0,1
A-1b707d,971,False,0.4,0.03007518796992481,0.0,0.0,42.666666666666664,4.0,0,1
A-6f8ad2,610,False,0.5,0.06385281385281386,0.0,1.0,35.25,4.25,1,1
A-4d1e75,567,False,0.1,0.05241090146750524,0.0,0.0,15.0,4.0,1,1
A-9ee962,1107,False,0.3,0.0387243735763098,0.0,0.0,37.0,4.0,1,1
A-378b99,556,True,0.5,0.06725663716814159,0.0,0.0,28.5,4.333333333333333,1,1
A-94d3da,1043,False,0.3,0.05387931034482758,0.0,3.0,26.833333333333332,3.6666666666666665,0,1
A-e351e1,531,False,0.5,0.07457627118644068,0.0,1.0,17.0,3.75,0,1
A-9badbd,630,True,0.4,0.06172839506172839,0.0,2.0,30.2,4.4,0,1
A-7e0a10,844,False,0.2,0.0684931506849315,0.0,3.0,39.4,4.0,0,1
A-118d55,505,False,0.4,0.05509181969949917,0.0,0.0,24.2,4.2,1,1
A-526d93,696,False,0.3,0.07964601769911504,0.0,1.0,51.4,3.8,0,1
A-f92792,615,False,0.2,0.058712121212121215,0.0,0.0,45.0,4.0,1,1
A-84ebe4,1095,True,0.2,0.06565656565656566,0.0,0.0,29.5,4.0,0,1
A-5b4ebb,609,True,0.4,0.036127167630057806,0.0,0.0,35.4,4.6,0,1
A-2922b6,482,False,0.3,0.03307888040712468,0.0,1.0,15.5,4.0,0,1
A-9b9fe9,895,False,0.5,0.03685092127303183,0.0,1.0,33.5,4.0,1,1
A-a8b49c,887,False,0.4,0.07889908256880734,0.0,0.0,72.0,4.0,0,1
A-9174e0,462,False,0.4,0.08853410740203194,0.0,1.0,39.0,4.5,0,1
A-a1bbb6,1071,False,0.1,0.0546448087431694,0.0,1.0,17.666666666666668,4.0,0,1
A-c45b23,824,False,0.2,0.05163511187607573,0.0,1.0,36.666666666666664,3.6666666666666665,0,1
A-02cd81,713,False,0.3,0.04093567251461988,0.0,1.0,17.333333333333332,4.333333333333333,0,1
A-ee42db,1051,False,0.5,0.06457925636007827,0.0,1.0,33.75,3.75,1,1
A-432483,1129,False,0.4,0.06208425720620843,0.0,1.0,51.0,4.0,0,1
A-9208f0,1035,False,0.5,0.05762081784386617,0.0,1.0,41.25,3.75,0,1
A-98a59a,950,False,0.2,0.046153846153846156,0.0,1.0,37.333333333333336,4.333333333333333,1,1
A-fe79a5,749,True,0.3,0.050746268656716415,0.0,0.0,28.5,4.5,0,1
A-726cfa,984,False,0.1,0.045317220543806644,0.0,0.0,35.666666666666664,4.0,0,1
A-c43359,480,False,0.2,0.06941431670281996,0.0,2.0,26.666666666666668,4.0,1,1
A-271f46,1126,False,0.1,0.04289544235924933,0.0,0.0,36.0,4.0,0,1
A-157070,853,False,0.2,0.03735632183908046,0.0,1.0,42.333333333333336,3.6666666666666665,1,1
A-40a557,829,True,0.4,0.04228855721393035,0.0,3.0,30.571428571428573,3.857142857142857,0,1
A-66224b,509,True,0.3,0.0463258785942492,0.0,2.0,39.833333333333336,3.5,0,1
A-91e948,1137,False,0.5,0.039603960396039604,0.0,0.0,0.0,0.0,0,1
A-104f1a,571,False,0.4,0.0502283105022831,0.0,0.0,33.2,3.8,0,1
A-7988d1,812,False,0.4,0.062360801781737196,0.0,2.0,35.333333333333336,4.333333333333333,0,1
A-faa28c,771,False,0.3,0.041025641025641026,0.0,2.0,52.25,4.5,0,1
A-f25509,719,False,0.5,0.06550218340611354,0.0,2.0,42.666666666666664,4.333333333333333,1,1
A-3a7284,479,False,0.2,0.04926108374384237,0.0,2.0,56.333333333333336,3.6666666666666665,1,1
A-3a5ad8,827,True,0.3,0.045454545454545456,0.0,3.0,44.75,4.25,1,1
A-65a46c,858,False,0.3,0.05675675675675676,0.0,6.0,45.125,4.0,0,1
A-8b25f2,753,False,0.4,0.035398230088495575,0.0,0.0,35.5,4.0,1,1
