account_id,churn_score,risk_level,mrr,quadrant,action_recommandee
A-2e4581,0.73,high,1260.3,Action automatisée,Email automatisé
A-43a9e3,0.73,high,1250.5,Action automatisée,Email automatisé
A-0a282f,0.88,high,1219.0666666666666,Action automatisée,Email automatisé
A-1f0ac7,0.54,medium,1325.0,Aucune action,Monitoring passif
A-ce550d,0.47,medium,5417.888888888889,Fidéliser,Programme fidélité
A-1b9609,0.61,medium,1528.1818181818182,Aucune action,Monitoring passif
A-a0ca4e,0.49,medium,1848.111111111111,Aucune action,Monitoring passif
A-e5d6ab,0.89,high,1304.8,Action automatisée,Email automatisé
A-7dacce,0.74,high,2305.7,Priorité maximale,Appel CSM immédiat
A-10b8da,0.64,medium,1464.5,Aucune action,Monitoring passif
A-592832,0.38,medium,1714.2631578947369,Aucune action,Monitoring passif
A-d40bf7,0.25,low,4324.7,Fidéliser,Programme fidélité
A-6c093d,0.71,high,1353.5,Action automatisée,Email automatisé
A-462d45,0.58,medium,1952.6666666666667,Fidéliser,Programme fidélité
A-956988,0.67,medium,2262.076923076923,Fidéliser,Programme fidélité
A-ac14bb,0.83,high,3468.25,Priorité maximale,Appel CSM immédiat
A-463db0,0.51,medium,1895.142857142857,Aucune action,Monitoring passif
A-ce66f8,0.34,medium,1976.3333333333333,Fidéliser,Programme fidélité
A-c4ea60,0.82,high,1627.3333333333333,Action automatisée,Email automatisé
A-832ec2,0.49,medium,1162.375,Aucune action,Monitoring passif
A-684255,0.75,high,846.0,Action automatisée,Email automatisé
A-c42f1f,0.56,medium,646.875,Aucune action,Monitoring passif
A-4e44e8,0.82,high,2603.214285714286,Priorité maximale,Appel CSM immédiat
A-30b4ca,0.5,medium,9492.25,Fidéliser,Programme fidélité
A-9f2731,0.91,high,516.1428571428571,Action automatisée,Email automatisé
A-32fb14,0.7,medium,1129.111111111111,Aucune action,Monitoring passif
A-00cac8,0.67,medium,1569.0,Aucune action,Monitoring passif
A-35083d,0.36,medium,2027.0625,Fidéliser,Programme fidélité
A-eb7fac,0.74,high,4209.6,Priorité maximale,Appel CSM immédiat
A-b20d99,0.44,medium,1581.2857142857142,Aucune action,Monitoring passif
A-396e5f,0.53,medium,1023.6,Aucune action,Monitoring passif
A-45ce7a,0.83,high,1173.7142857142858,Action automatisée,Email automatisé
A-08e34e,0.82,high,1983.7272727272727,Priorité maximale,Appel CSM immédiat
A-8145a0,0.6,medium,1438.3333333333333,Aucune action,Monitoring passif
A-bad8c1,0.83,high,1113.857142857143,Action automatisée,Email automatisé
A-44dc83,0.29,low,114.0,Aucune action,Monitoring passif
A-f446b6,0.65,medium,1265.7777777777778,Aucune action,Monitoring passif
A-a45270,0.69,medium,1677.5833333333333,Aucune action,Monitoring passif
A-854864,0.76,high,2459.833333333333,Priorité maximale,Appel CSM immédiat
A-1b7577,0.7,medium,797.3636363636364,Aucune action,Monitoring passif
A-05f0e5,0.81,high,4259.083333333333,Priorité maximale,Appel CSM immédiat
A-9077b0,0.71,high,509.2857142857143,Action automatisée,Email automatisé
A-7f8241,0.46,medium,2634.4,Fidéliser,Programme fidélité
A-2bc93d,0.48,medium,2491.846153846154,Fidéliser,Programme fidélité
A-f3ff05,0.76,high,1497.3076923076924,Action automatisée,Email automatisé
A-2d4502,0.68,medium,2907.1,Fidéliser,Programme fidélité
A-6a4e2d,0.28375,low,944.9090909090908,Aucune action,Monitoring passif
A-eb7c38,0.88,high,2547.333333333333,Priorité maximale,Appel CSM immédiat
A-c37601,0.74,high,1706.25,Action automatisée,Email automatisé
A-3b5cd1,0.86,high,1821.2307692307693,Action automatisée,Email automatisé
A-b2225d,0.54,medium,1590.6666666666667,Aucune action,Monitoring passif
A-94f8c9,0.51,medium,1999.3125,Fidéliser,Programme fidélité
A-02fac6,0.83,high,2400.909090909091,Priorité maximale,Appel CSM immédiat
A-c1dfe1,0.63,medium,3223.75,Fidéliser,Programme fidélité
A-32728c,0.83375,high,562.25,Action automatisée,Email automatisé
A-4c38bc,0.49,medium,3003.75,Fidéliser,Programme fidélité
A-1b707d,0.54,medium,1166.5,Aucune action,Monitoring passif
