subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag
S-8cec59,A-3c1a3f,2023-12-23,2024-04-12 00:00:00,Enterprise,1970-01-01 00:00:00.000000014,2786,33432,False,False,False,True,monthly,True
S-0f6f44,A-9b9fe9,2024-06-11,Unknown,Pro,1970-01-01 00:00:00.000000017,833,9996,False,False,False,False,monthly,True
S-51c0d1,A-659280,2024-11-25,Unknown,Enterprise,1970-01-01 00:00:00.000000062,0,0,True,True,False,False,annual,False
S-f81687,A-e7a1e2,2024-11-23,2024-12-13 00:00:00,Enterprise,1970-01-01 00:00:00.000000005,995,11940,False,False,False,True,monthly,True
S-cff5a2,A-ba6516,2024-01-10,Unknown,Enterprise,1970-01-01 00:00:00.000000027,5373,64476,False,False,False,False,monthly,True
S-4b9b13,A-fa2041,2024-08-13,Unknown,Pro,1970-01-01 00:00:00.000000015,735,8820,False,False,False,False,monthly,True
S-dceac6,A-417d2f,2023-12-30,Unknown,Enterprise,1970-01-01 00:00:00.000000004,796,9552,False,False,False,False,annual,True
S-8cad7b,A-5f2961,2024-12-23,Unknown,Basic,1970-01-01 00:00:00.000000016,304,3648,False,False,False,False,annual,True
S-24796e,A-cc8c8f,2024-11-27,Unknown,Enterprise,1970-01-01 00:00:00.000000023,4577,54924,False,False,False,False,annual,False
S-d0c344,A-80eeb6,2024-10-27,Unknown,Pro,1970-01-01 00:00:00.000000022,1078,12936,False,False,False,False,annual,False
S-477506,A-f03140,2024-02-06,Unknown,Pro,1970-01-01 00:00:00.000000027,1323,15876,False,False,False,False,annual,True
S-79a9e1,A-3a5ad8,2024-12-25,Unknown,Enterprise,1970-01-01 00:00:00.000000022,0,0,True,False,False,False,annual,True
S-59dc4b,A-f17767,2023-09-17,Unknown,Pro,1970-01-01 00:00:00.000000026,1274,15288,False,True,True,False,monthly,True
S-7acd8b,A-7920cc,2024-07-17,Unknown,Basic,1970-01-01 00:00:00.000000039,741,8892,False,False,False,False,annual,True
S-428e9a,A-8ae3fc,2024-10-12,Unknown,Enterprise,1970-01-01 00:00:00.000000088,0,0,True,False,False,False,monthly,True
S-486088,A-0cc442,2024-09-18,Unknown,Pro,1970-01-01 00:00:00.000000045,2205,26460,False,False,False,False,monthly,True
S-13939b,A-86902e,2023-07-21,2024-08-03 00:00:00,Pro,1970-01-01 00:00:00.000000034,0,0,True,False,False,True,monthly,True
S-9333c5,A-ef84cf,2024-06-06,2024-08-13 00:00:00,Basic,1970-01-01 00:00:00.000000008,152,1824,False,False,False,True,annual,False
S-37e3ad,A-b30291,2024-04-25,Unknown,Basic,1970-01-01 00:00:00.000000005,95,1140,False,False,False,False,monthly,True
S-b17d04,A-e19ff6,2024-03-06,Unknown,Pro,1970-01-01 00:00:00.000000008,392,4704,False,False,False,False,monthly,True
S-c27134,A-dec005,2024-03-31,Unknown,Pro,1970-01-01 00:00:00.000000021,0,0,True,False,False,False,monthly,True
S-3bd427,A-2e3bad,2024-12-04,2024-12-27 00:00:00,Basic,1970-01-01 00:00:00.000000061,1159,13908,False,False,False,True,monthly,True
S-82989b,A-f5641b,2024-11-30,Unknown,Basic,1970-01-01 00:00:00.000000031,589,7068,False,False,False,False,monthly,True
S-082b15,A-aa9511,2024-02-09,Unknown,Enterprise,1970-01-01 00:00:00.000000097,19303,231636,False,False,False,False,annual,True
S-434140,A-075038,2024-02-25,Unknown,Pro,1970-01-01 00:00:00.000000017,833,9996,False,False,False,False,annual,True
S-c07ede,A-cea1f0,2024-10-07,Unknown,Pro,1970-01-01 00:00:00.000000008,392,4704,False,False,False,False,annual,False
S-287914,A-a1b80b,2024-08-15,Unknown,Pro,1970-01-01 00:00:00.000000016,784,9408,False,False,False,False,annual,True
S-b3bd43,A-b2225d,2024-11-03,Unknown,Pro,1970-01-01 00:00:00.000000050,2450,29400,False,False,False,False,monthly,False
S-4c82da,A-b9eed8,2024-08-01,Unknown,Pro,1970-01-01 00:00:00.000000011,539,6468,False,False,False,False,monthly,False
S-c75159,A-bcf87c,2024-08-22,2024-09-28 00:00:00,Enterprise,1970-01-01 00:00:00.000000031,6169,74028,False,False,False,True,monthly,True
S-b5643b,A-9f9299,2024-06-11,Unknown,Enterprise,1970-01-01 00:00:00.000000028,5572,66864,False,False,False,False,annual,False
S-49a9aa,A-10b8f2,2023-06-16,Unknown,Basic,1970-01-01 00:00:00.000000051,969,11628,False,False,False,False,annual,True
S-2877e6,A-95b24a,2024-06-28,Unknown,Enterprise,1970-01-01 00:00:00.000000038,0,0,True,True,True,False,monthly,True
S-8c10c1,A-0651a4,2024-12-25,Unknown,Enterprise,1970-01-01 00:00:00.000000065,12935,155220,False,False,False,False,annual,True
S-d7d398,A-fb186e,2024-12-28,Unknown,Enterprise,1970-01-01 00:00:00.000000029,0,0,True,False,False,False,annual,True
S-ddad91,A-40906c,2024-06-21,Unknown,Enterprise,1970-01-01 00:00:00.000000092,0,0,True,False,False,False,annual,False
S-6762fa,A-40a557,2024-02-12,Unknown,Enterprise,1970-01-01 00:00:00.000000016,3184,38208,False,False,False,False,annual,True
S-bb1cf1,A-3a5ad8,2024-09-07,Unknown,Enterprise,1970-01-01 00:00:00.000000009,0,0,True,True,False,False,monthly,False
S-a805a5,A-2789e3,2024-09-18,Unknown,Basic,1970-01-01 00:00:00.000000033,627,7524,False,False,False,False,monthly,True
S-da0a69,A-49b828,2023-05-11,Unknown,Pro,1970-01-01 00:00:00.000000006,294,3528,False,False,False,False,monthly,True
S-59c5d7,A-c16b88,2024-10-19,Unknown,Basic,1970-01-01 00:00:00.000000035,665,7980,False,True,False,False,monthly,True
S-d3faae,A-5c9849,2024-11-12,Unknown,Basic,1970-01-01 00:00:00.000000019,361,4332,False,False,False,False,monthly,True
S-73a4e4,A-993085,2024-09-09,Unknown,Pro,1970-01-01 00:00:00.000000031,1519,18228,False,False,False,False,monthly,True
S-35c8a3,A-e4144b,2024-12-22,Unknown,Enterprise,1970-01-01 00:00:00.000000041,8159,97908,False,False,False,False,annual,True
S-99fbf7,A-7dacce,2024-09-10,Unknown,Enterprise,1970-01-01 00:00:00.000000012,2388,28656,False,False,False,False,annual,True
S-e97b9f,A-a0ca4e,2024-03-16,Unknown,Enterprise,1970-01-01 00:00:00.000000012,2388,28656,False,False,False,False,annual,True
S-763d33,A-ef84cf,2024-07-25,Unknown,Basic,1970-01-01 00:00:00.000000023,437,5244,False,False,True,False,annual,False
S-323782,A-7920cc,2024-02-22,Unknown,Basic,1970-01-01 00:00:00.000000039,741,8892,False,False,False,False,monthly,True
S-1cff18,A-2789e3,2024-10-03,Unknown,Basic,1970-01-01 00:00:00.000000011,209,2508,False,False,False,False,monthly,True
